cc_number,crime_date_time,crime_code,description,inside_outside,weapon,post,gender,age,race,location,old_district,new_district,neighborhood,latitude,longitude,premise_type,total_incidents,year,month,hour,date,age_range,time_range,during_or_just_after_school,around_lunch,quarter,quarter_date
23k03543,2023-11-11T19:45:00Z,9,shooting,inside,handgun,825,m,40,black_or_african_american,2500 ashton st,n/a,southwest,millhill,39.280595,-76.655271,street,1,2023,11,19,2023-11-11,35 to 50,evening,FALSE,FALSE,4,2023-12-31
23l01850,2023-12-06T15:35:00Z,9,shooting,inside,handgun,725,f,24,black_or_african_american,500 n monroe st,n/a,western,midtown-edmondson,39.29389353044129,-76.64732241733297,street,1,2023,12,15,2023-12-06,18 to 25,after school,TRUE,FALSE,4,2023-12-31
23k04871,2023-11-15T21:39:00Z,9,shooting,inside,firearm,832,m,20,black_or_african_american,2000 w pratt st,n/a,southwest,carrollton ridge,39.285142,-76.648573,street,1,2023,11,21,2023-11-15,18 to 25,night,FALSE,FALSE,4,2023-12-31
23l05307,2023-12-17T17:24:00Z,9,shooting,inside,firearm,724,f,37,black_or_african_american,700 n warwick ave,n/a,western,evergreen lawn,39.29555111539657,-76.65644936606878,street,1,2023,12,17,2023-12-17,35 to 50,evening,TRUE,FALSE,4,2023-12-31
23l05138,2023-12-17T02:40:00Z,9,shooting,inside,firearm,712,m,51,black_or_african_american,400 gold st,n/a,western,druid heights,39.309545,-76.636763,street,1,2023,12,2,2023-12-17,51 to 74,early morning,FALSE,FALSE,4,2023-12-31
23l05138,2023-12-17T02:40:00Z,9,shooting,inside,firearm,712,m,24,black_or_african_american,400 gold st,n/a,western,druid heights,39.309545,-76.636763,street,1,2023,12,2,2023-12-17,18 to 25,early morning,FALSE,FALSE,4,2023-12-31
23k02335,2023-11-07T23:00:00Z,9,shooting,outside,handgun,214,m,17,NA,200 n conkling st,n/a,southeast,baltimore highlands,39.295702,-76.567826,other/residential,1,2023,11,23,2023-11-07,juvenile,night,FALSE,FALSE,4,2023-12-31
23l01524,2023-12-05T15:45:00Z,9,shooting,inside,handgun,713,m,51,black_or_african_american,1800 pennsylvania ave,n/a,western,upton,39.304304,-76.6357,street,1,2023,12,15,2023-12-05,51 to 74,after school,TRUE,FALSE,4,2023-12-31
23k00991,2023-11-03T20:24:00Z,9,shooting,inside,firearm,125,m,39,black_or_african_american,900 n eden st,n/a,central,oldtown,39.30036,-76.599348,street,1,2023,11,20,2023-11-03,35 to 50,night,FALSE,FALSE,4,2023-12-31
23j01234,2023-10-03T20:20:00Z,9,shooting,outside,firearm,421,m,18,black_or_african_american,1700 argonne dr,n/a,northeast,morgan state university,39.340038,-76.587742,school,1,2023,10,20,2023-10-03,juvenile,night,FALSE,FALSE,4,2023-12-31
23j01234,2023-10-03T20:20:00Z,9,shooting,outside,firearm,421,f,18,black_or_african_american,1700 argonne dr,n/a,northeast,morgan state university,39.340038,-76.587742,school,1,2023,10,20,2023-10-03,juvenile,night,FALSE,FALSE,4,2023-12-31
23k01439,2023-11-05T05:10:00Z,9,shooting,inside,firearm,712,m,41,black_or_african_american,2100 mcculloh st,n/a,western,druid heights,39.308841,-76.635688,street,1,2023,11,5,2023-11-05,35 to 50,morning,FALSE,FALSE,4,2023-12-31
23k01682,2023-11-05T23:41:00Z,9,shooting,inside,handgun,722,m,21,black_or_african_american,1600 n smallwood st,n/a,western,easterwood,39.307102,-76.65248,street,1,2023,11,23,2023-11-05,18 to 25,night,FALSE,FALSE,4,2023-12-31
